"","GEO_CODE","Lat","Long","Pop","Pop_male","Pop_female","Pop_16_26","Pop_32_39","Pop_40_52","Pop_53_65","Pop_66_76","Age_Moyen","Age_Median","Male_total","Female_total","Pop_Male_16_26","Pop_Female_16_26","Pop_Male_32_39","Pop_Female_32_39","Pop_Male_40_52","Pop_Female_40_52","Pop_Male_53_65","Pop_Female_53_65","Pop_Male_66_76","Pop_Female_66_76","sal_1","sal_2","sal_3","sal_4","sal_5","sal_6","sal_7","sal_8","sal_9","sal_10","sal_11","sal_1_m","sal_2_m","sal_3_m","sal_4_m","sal_5_m","sal_6_m","sal_7_m","sal_8_m","sal_9_m","sal_10_m","sal_11_m","sal_1_f","sal_2_f","sal_3_f","sal_4_f","sal_5_f","sal_6_f","sal_7_f","sal_8_f","sal_9_f","sal_10_f","sal_11_f","Total_Habitation","Propriétaire","Locataire","Condo","Celibataire","Conjoint_fait","Marie","Celibataire_M","Conjoint_fait_M","Marie_M","Celibataire_F","Conjoint_fait_F","Marie_F","Maison_Detache","Appartement","Bilingue","Couple_1","Couple_2","Couple_3"
"1","G0A",47.336855086,-71.1600295482,86170,43885,42285,8931,9412,14352,17416,9893,42.2,43.5,43885,42285,4617,4312,4782,4624,7450,6902,8879,8543,5191,4708,6960,11305,12330,12790,9860,6505,3560,1745,2695,965,485,2595,4375,5615,6745,5675,4125,2205,1175,2055,720,365,4370,6935,6715,6045,4180,2375,1350,575,640,240,120,29320,6770,1445,24615,22495,23705,12880,11235,11865,11740,11260,11840,36145,38155,5560,25725,4170,4590,1775
"2","G0C",48.3165059808,-65.526499933,47110,23055,24055,4591,3595,7817,11414,7096,47.5,52,23055,24055,2300,2293,1827,1768,3786,4026,5680,5739,3498,3603,4700,9970,8660,6955,4135,2150,1280,525,770,255,170,1910,4015,4185,3790,2330,1305,690,355,555,185,125,2790,5955,4480,3160,1805,840,585,175,210,75,45,15785,5465,590,18080,9955,13070,8445,4975,6545,9635,4980,6520,21385,21900,2880,12480,2315,1680,580
"3","G0E",48.9273049034,-65.3761945673,4770,2425,2350,363,322,737,1369,848,50.8,56.4,2425,2350,198,172,160,157,384,358,691,678,430,418,505,1170,965,720,375,170,100,40,60,20,15,190,480,495,435,250,110,65,25,45,20,10,320,690,475,280,125,55,35,15,10,0,5,1905,350,50,1720,945,1625,885,475,815,840,470,810,2265,2390,130,685,240,145,55
"4","G0G",52.3335302405,-64.6492610881,17665,9090,8570,2162,1750,3362,3524,1522,39.9,41.6,9090,8570,1110,1049,873,882,1719,1653,1888,1635,812,704,1695,2150,2295,2280,1560,1035,825,595,1280,480,390,730,825,900,1195,845,620,505,395,1080,360,340,965,1325,1395,1090,715,415,325,200,205,120,50,4905,1260,185,5480,4010,4865,2915,2005,2445,2565,2005,2420,7075,7150,600,3920,905,835,410
"5","G0H",49.3637161729,-67.5940024202,10540,5320,5220,1088,955,1930,2516,1352,44.1,48.1,5320,5220,541,543,473,487,974,956,1295,1221,735,615,1445,1765,1630,1445,910,445,355,250,285,150,70,545,645,835,825,550,310,250,205,225,130,50,895,1120,790,615,360,130,105,45,60,20,25,3660,530,150,3700,2570,2680,1935,1285,1345,1770,1290,1340,4605,4555,255,1200,505,395,175
"6","G0J",48.591132461,-67.1794800491,29250,14970,14280,2726,2280,4383,7515,4402,47.1,52.6,14970,14280,1468,1260,1178,1099,2195,2188,3884,3627,2322,2084,2995,6570,5255,4335,2450,1140,525,220,255,130,55,1160,2825,2780,2610,1570,735,325,160,200,100,45,1845,3745,2475,1725,875,405,195,60,55,30,10,10855,2545,305,10180,6660,8395,5400,3330,4195,4775,3335,4200,13405,13655,1520,4185,1245,975,555
"7","G0K",48.1852348705,-68.2107944702,11585,6040,5545,1150,1130,1901,2743,1481,43.6,47.1,6040,5545,620,533,594,541,983,921,1449,1281,797,677,1015,2025,2030,1900,1155,595,290,140,145,65,20,405,880,1110,1070,700,355,175,85,105,45,10,610,1145,925,830,460,235,115,55,40,20,10,4340,825,160,3515,3030,3155,1970,1515,1580,1545,1515,1575,5150,5195,480,1830,510,515,260
"8","G0L",47.7775283526,-69.2114585433,59525,29970,29555,5609,5212,9253,13960,8398,45.9,50.3,29970,29555,2892,2715,2666,2549,4693,4555,7047,6908,4288,4103,5355,10825,10710,9430,5590,2640,1395,605,880,305,155,1930,4410,5385,5465,3415,1575,805,440,670,240,120,3420,6415,5330,3960,2180,1060,590,170,215,70,35,20855,5150,530,18460,13615,18435,9255,6795,9235,9200,6815,9195,26000,26420,3725,9190,2565,2570,1215
"9","G0M",45.9717934085,-70.6565449388,34020,17555,16470,4033,3197,5542,7023,3854,42.6,44.7,17555,16470,2104,1931,1670,1527,2933,2614,3687,3331,1951,1901,2865,5770,6145,5605,3505,1590,640,265,410,110,70,1075,2185,2930,3405,2315,1105,440,190,330,90,50,1785,3585,3210,2200,1190,490,200,70,75,20,20,11605,2645,385,10325,6730,11075,5510,3370,5545,4810,3355,5530,14300,14735,1600,5915,1440,1655,940
"10","G0N",46.106876333,-71.2450918519,19490,10070,9420,1880,1720,2854,4532,2903,45.7,50,10070,9420,1006,876,932,793,1523,1336,2333,2204,1498,1405,1790,3760,3570,3095,1915,870,415,180,295,85,60,710,1515,1805,1875,1195,560,260,135,220,65,50,1080,2240,1765,1220,715,310,160,45,75,25,10,7190,1510,200,5825,3990,6655,3175,1990,3320,2650,1995,3335,8725,8815,1060,3540,780,810,460
