"","16_26","32_39","40_52","53_65","66_76"
"Total",323840,349334,633495,423964.5,0
"Gestion",14468,47181,99806,65289.5,0
"Affaire",25567,35429,62404,45609.5,0
"Science_naturelle",25242,50683.5,71467.5,33117.5,0
"Santé",5206,8890.5,17362.5,12471.5,0
"Enseignement_service_sociaux",15792,28873,46630,31252,0
"arts_sport",10322,10644.5,14359.5,9581.5,0
"Vente_service",123240,51374.5,94097.5,75104,0
"Metiers_transport",72748,86195,165073,109756,0
"ressources_nat",9956,6087.5,12057.5,9527,0
"Service_public",21303,23975.5,50237.5,32251.5,0
"Retraite",0,0,0,0,1
