"","Prediction","Pop homme 16_26","Pop etudiante","Salaire"
"H7A",12,1477,0.062867506670238,2660
"H7B",1,191,0.062867506670238,370
"H7C",4,533,0.062867506670238,1165
"H7E",15,1891,0.062867506670238,3330
"H7G",13,1373,0.062867506670238,3180
"H7H",7,964,0.062867506670238,1620
"H7J",1,125,0.062867506670238,325
"H7K",13,1686,0.062867506670238,2735
"H7L",16,2518,0.062867506670238,3735
"H7M",18,1978,0.062867506670238,4060
"H7N",32,3027,0.062867506670238,7065
"H7P",20,2388,0.062867506670238,4635
"H7R",16,1962,0.062867506670238,3880
"H7S",6,545,0.062867506670238,1230
"H7T",15,1582,0.062867506670238,3750
"H7V",16,1303,0.062867506670238,4440
"H7W",32,2630,0.062867506670238,8130
"H7X",14,1823,0.062867506670238,3200
"H7Y",3,615,0.062867506670238,875
