"","Prediction","Pop femme 32_39","Pop service","Salaire"
"H7A",3,1214,0.0137501601286178,1445
"H7B",0,169,0.0137501601286178,205
"H7C",1,422,0.0137501601286178,470
"H7E",3,1081,0.0137501601286178,1965
"H7G",2,1035,0.0137501601286178,1150
"H7H",2,811,0.0137501601286178,1130
"H7J",0,107,0.0137501601286178,170
"H7K",3,1016,0.0137501601286178,1685
"H7L",6,2053,0.0137501601286178,2875
"H7M",3,1193,0.0137501601286178,1770
"H7N",5,2472,0.0137501601286178,2205
"H7P",5,1793,0.0137501601286178,2395
"H7R",4,1659,0.0137501601286178,2065
"H7S",1,381,0.0137501601286178,385
"H7T",3,1338,0.0137501601286178,1440
"H7V",1,1039,0.0137501601286178,760
"H7W",3,2029,0.0137501601286178,1900
"H7X",3,1362,0.0137501601286178,1755
"H7Y",2,551,0.0137501601286178,725
