"","Prediction","Pop femme 53_65","Pop enseign","Salaire"
"H7A",1,1854,0.0104663129228851,1445
"H7B",0,283,0.0104663129228851,205
"H7C",0,730,0.0104663129228851,470
"H7E",2,2468,0.0104663129228851,1965
"H7G",1,1888,0.0104663129228851,1150
"H7H",1,1238,0.0104663129228851,1130
"H7J",0,270,0.0104663129228851,170
"H7K",2,2278,0.0104663129228851,1685
"H7L",3,3131,0.0104663129228851,2875
"H7M",2,2991,0.0104663129228851,1770
"H7N",2,3645,0.0104663129228851,2205
"H7P",2,3275,0.0104663129228851,2395
"H7R",2,2583,0.0104663129228851,2065
"H7S",0,611,0.0104663129228851,385
"H7T",1,2185,0.0104663129228851,1440
"H7V",1,1851,0.0104663129228851,760
"H7W",2,3591,0.0104663129228851,1900
"H7X",1,2047,0.0104663129228851,1755
"H7Y",1,771,0.0104663129228851,725
