"","Prediction","Pop homme 66_76","Pop retraite","Salaire"
"H7A",84,757,1.22586501632546e-07,2325
"H7B",16,131,1.22586501632546e-07,380
"H7C",39,426,1.22586501632546e-07,830
"H7E",129,1292,1.22586501632546e-07,2640
"H7G",87,975,1.22586501632546e-07,1895
"H7H",52,449,1.22586501632546e-07,1590
"H7J",13,128,1.22586501632546e-07,225
"H7K",85,833,1.22586501632546e-07,2260
"H7L",108,1094,1.22586501632546e-07,3685
"H7M",140,1434,1.22586501632546e-07,2715
"H7N",159,1725,1.22586501632546e-07,3900
"H7P",164,1577,1.22586501632546e-07,3640
"H7R",116,1124,1.22586501632546e-07,3095
"H7S",29,315,1.22586501632546e-07,665
"H7T",105,1121,1.22586501632546e-07,2255
"H7V",71,1081,1.22586501632546e-07,1485
"H7W",188,2363,1.22586501632546e-07,3305
"H7X",81,923,1.22586501632546e-07,2285
"H7Y",23,245,1.22586501632546e-07,905
