"","16_26","32_39","40_52","53_65","66_76"
"Total",645494,678651,1236946,787331.5,0
"Gestion",25430,76987,159051,96044,0
"Affaire",74308,115531.5,232451.5,155839,0
"Science_naturelle",33573,66457,93262,40360.5,0
"Santé",35526,50459,86354,51069.5,0
"Enseignement_service_sociaux",56431,102960,148662,85379,0
"arts_sport",25251,21921,29719,18658.5,0
"Vente_service",279923,112167,223027,164179.5,0
"Metiers_transport",75956,91458,175836,115838.5,0
"ressources_nat",12040,7357.5,15500.5,12147.5,0
"Service_public",27055,33344.5,73080.5,47811,0
"Retraite",0,0,0,0,1
